donor,region,roi,other_immune,epithelial,unknown,PP cell,beta cell,macrophage,cd8_t,cd4_t,b_cell,mdsc,fibroblast,alpha cell,endothelial,acinar
HPAP-037,Head of pancreas,ROI3,643.0,725.0,666.0,0.0,0.0,26.0,19.0,4.0,0.0,250.0,0.0,0.0,39.0,0.0
HPAP-037,Tail of pancreas,ROI1,100.0,548.0,245.0,0.0,0.0,43.0,21.0,4.0,0.0,455.0,243.0,0.0,0.0,0.0
HPAP-037,Tail of pancreas,ROI2,191.0,135.0,298.0,0.0,0.0,55.0,27.0,2.0,0.0,552.0,0.0,0.0,153.0,0.0
HPAP-037,Tail of pancreas,ROI3,682.0,531.0,669.0,298.0,0.0,48.0,31.0,4.0,1.0,914.0,0.0,0.0,0.0,0.0
HPAP-039,Body of pancreas,ROI3,299.0,2436.0,0.0,0.0,28.0,77.0,123.0,105.0,1.0,0.0,0.0,0.0,496.0,0.0
HPAP-039,Body of pancreas,ROI4,248.0,879.0,345.0,0.0,9.0,154.0,142.0,136.0,1.0,0.0,0.0,0.0,346.0,0.0
HPAP-039,Body of pancreas,ROI5,146.0,1685.0,1057.0,0.0,0.0,71.0,225.0,134.0,0.0,0.0,718.0,0.0,487.0,0.0
HPAP-039,Head of pancreas,ROI1,591.0,1085.0,0.0,0.0,0.0,363.0,234.0,149.0,7.0,0.0,0.0,0.0,34.0,0.0
HPAP-039,Head of pancreas,ROI2,746.0,951.0,322.0,0.0,0.0,247.0,128.0,108.0,0.0,0.0,177.0,0.0,102.0,0.0
HPAP-039,Head of pancreas,ROI4,198.0,1221.0,0.0,291.0,98.0,164.0,82.0,92.0,0.0,0.0,383.0,0.0,0.0,0.0
HPAP-039,Tail of pancreas,ROI1,894.0,497.0,771.0,0.0,453.0,167.0,134.0,90.0,2.0,0.0,0.0,0.0,0.0,0.0
HPAP-039,Tail of pancreas,ROI2,67.0,2015.0,706.0,0.0,60.0,29.0,212.0,88.0,4.0,0.0,0.0,0.0,0.0,0.0
HPAP-039,Tail of pancreas,ROI3,398.0,1202.0,630.0,0.0,0.0,106.0,141.0,114.0,6.0,0.0,391.0,0.0,0.0,0.0
HPAP-040,Body of pancreas,ROI1,1247.0,1032.0,568.0,0.0,0.0,53.0,15.0,0.0,0.0,171.0,0.0,0.0,62.0,0.0
